2026-07-04 23:45:36 | INFO | automated_data_quality_monitoring.validation | Logging validation message.
2026-02-05 00:06:45 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:06:45 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:06:45 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:06:45 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:06:45 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:07 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:07 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:07 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:07 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:08 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:15 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:15 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:15 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:15 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:16 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:19 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:19 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:19 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:19 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:19 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:21 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:21 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:21 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:21 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:22 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:22 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:22 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:22 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:23 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:23 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:32 | INFO | automated_data_quality_monitoring.__main__ | Starting automated data quality monitoring run.
2026-02-05 00:07:32 | INFO | automated_data_quality_monitoring.__main__ | Loaded data quality rules from config/rules.yaml.
2026-02-05 00:07:32 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Loaded 7 public table name(s) from PostgreSQL.
2026-02-05 00:07:33 | INFO | automated_data_quality_monitoring.__main__ | Found 7 table(s) in PostgreSQL.
2026-02-05 00:07:33 | INFO | automated_data_quality_monitoring.__main__ | Running checks for table: customers
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Loaded table customers with 3 row(s).
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:33 | INFO | automated_data_quality_monitoring.checks.anomaly_checks | No historical profile means available for dataset customers.
2026-02-05 00:07:33 | INFO | automated_data_quality_monitoring.__main__ | Completed 15 rule check(s) and 2 statistical check(s) for table: customers
2026-02-05 00:07:33 | INFO | automated_data_quality_monitoring.__main__ | Running checks for table: orders
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Loaded table orders with 5 row(s).
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Loaded table customers with 3 row(s).
2026-02-05 00:07:33 | DEBUG | automated_data_quality_monitoring.data_sources.postgres_connector | Creating PostgreSQL engine for host=localhost database=data_quality_db driver=postgresql+psycopg2.
